algorithm,cores,iterations,size,latency,min,max
2,230,1000,128.0,98.08,1.28,188.06
2,230,1000,256.0,105.16,1.76,212.95
2,230,1000,512.0,110.07,1.85,221.45
2,230,1000,1024.0,119.88,1.96,258.2
2,230,1000,2048.0,121.95,1.61,248.56
2,230,1000,4096.0,139.48,2.01,279.42
2,230,1000,8192.0,162.37,2.94,326.0
2,230,1000,16384.0,215.91,5.61,424.88
2,230,1000,32768.0,358.95,8.71,694.04
2,230,1000,65536.0,615.33,28.49,1176.49
2,230,1000,131072.0,893.13,45.26,1665.33
2,230,1000,262144.0,1512.82,81.23,2824.41
2,230,1000,524288.0,3067.38,156.69,5660.56
2,230,1000,1048576.0,8528.86,308.46,16284.73
2,122,1000,1.0,39.8,0.64,79.05
2,122,1000,2.0,38.47,0.68,76.96
2,122,1000,4.0,38.36,0.7,76.49
2,122,1000,8.0,38.38,0.68,76.82
2,122,1000,16.0,37.68,0.79,75.59
2,122,1000,32.0,38.73,0.96,77.46
2,122,1000,64.0,40.7,0.97,80.84
2,122,1000,128.0,43.15,1.19,85.13
2,122,1000,256.0,49.74,2.63,98.19
2,122,1000,512.0,56.23,3.0,113.81
2,122,1000,1024.0,66.89,3.46,141.04
2,122,1000,2048.0,60.31,1.78,118.95
2,122,1000,4096.0,69.97,2.34,137.2
2,122,1000,8192.0,84.1,3.78,164.61
2,122,1000,16384.0,123.9,8.16,241.7
2,122,1000,32768.0,148.34,11.31,282.1
2,122,1000,65536.0,304.28,13.88,573.2
2,122,1000,131072.0,533.2,41.68,930.19
2,122,1000,262144.0,908.39,65.04,1603.54
2,122,1000,524288.0,1888.99,111.01,3260.7
2,122,1000,1048576.0,4363.89,200.84,7939.41
0,14,1000,1.0,3.09,0.97,6.13
0,14,1000,2.0,3.08,0.98,6.04
0,14,1000,4.0,3.04,0.95,6.04
0,14,1000,8.0,3.55,0.57,6.25
0,14,1000,16.0,3.56,0.6,6.08
0,14,1000,32.0,3.99,0.66,6.51
0,14,1000,64.0,3.72,1.05,6.75
0,14,1000,128.0,4.24,1.33,6.96
0,14,1000,256.0,4.91,1.69,8.34
0,14,1000,512.0,5.28,1.89,8.6
