algorithm,cores,iterations,size,latency,min,max
2,230,1000,256.0,24.95,0.67,47.32
2,230,1000,512.0,24.61,0.85,48.76
2,230,1000,1024.0,25.74,1.04,51.12
2,230,1000,2048.0,28.26,1.93,56.96
2,230,1000,4096.0,34.75,2.14,69.73
2,230,1000,8192.0,47.46,2.21,93.38
2,230,1000,16384.0,143.47,10.28,273.06
2,230,1000,32768.0,218.42,14.77,409.4
2,230,1000,65536.0,348.08,26.38,654.78
2,230,1000,131072.0,644.78,51.65,1198.72
2,230,1000,262144.0,1286.25,88.02,2383.31
2,230,1000,524288.0,2593.84,166.47,4787.09
2,230,1000,1048576.0,5178.01,322.2,9553.39
2,122,1000,1.0,7.98,0.9,14.21
2,122,1000,2.0,7.97,0.97,14.62
2,122,1000,4.0,8.6,0.98,15.38
2,122,1000,8.0,7.84,1.01,14.11
2,122,1000,16.0,7.81,1.02,13.81
2,122,1000,32.0,8.23,1.06,14.36
2,122,1000,64.0,8.21,1.02,14.55
2,122,1000,128.0,9.9,1.08,17.63
2,122,1000,256.0,21.01,1.12,32.31
2,122,1000,512.0,10.48,1.21,18.98
2,122,1000,1024.0,11.24,1.16,20.25
2,122,1000,2048.0,14.48,1.15,27.41
2,122,1000,4096.0,18.48,1.47,34.45
2,122,1000,8192.0,28.82,1.74,52.02
2,122,1000,16384.0,84.72,12.14,150.96
2,122,1000,32768.0,123.83,19.24,217.4
2,122,1000,65536.0,210.77,39.79,363.39
2,122,1000,131072.0,391.28,84.89,667.67
2,122,1000,262144.0,751.76,154.83,1300.83
2,122,1000,524288.0,1539.9,285.5,2638.55
2,122,1000,1048576.0,3129.61,695.56,5337.18
0,14,1000,1.0,1.05,0.69,1.99
0,14,1000,2.0,1.06,0.72,1.98
0,14,1000,4.0,1.06,0.71,1.99
0,14,1000,8.0,1.28,0.37,2.0
0,14,1000,16.0,1.27,0.36,1.97
0,14,1000,32.0,1.45,0.38,2.25
0,14,1000,64.0,1.09,0.73,2.0
0,14,1000,128.0,1.66,0.93,2.42
0,14,1000,256.0,1.71,1.01,2.51
0,14,1000,512.0,1.9,1.21,2.69
0,14,1000,1024.0,2.06,1.3,2.83
0,14,1000,2048.0,2.74,1.67,3.23
0,14,1000,4096.0,5.53,0.81,7.74
0,14,1000,8192.0,8.73,1.01,12.3
0,14,1000,16384.0,19.11,5.64,26.0
0,14,1000,32768.0,22.1,10.62,26.54
0,14,1000,65536.0,48.4,36.93,53.03
0,14,1000,131072.0,94.57,80.08,103.68
0,14,1000,262144.0,206.56,177.18,223.43
0,14,1000,524288.0,422.82,406.73,433.87
0,14,1000,1048576.0,771.56,656.43,810.54
2,14,1000,1.0,1.14,0.45,2.02
2,14,1000,2.0,1.16,0.47,2.02
2,14,1000,4.0,1.15,0.47,2.02
2,14,1000,8.0,1.17,0.48,2.02
2,14,1000,16.0,1.14,0.44,2.0
2,14,1000,32.0,1.28,0.53,2.15
2,14,1000,64.0,1.26,0.53,2.12
2,14,1000,128.0,1.86,0.59,2.83
2,14,1000,256.0,1.91,0.6,2.9
2,14,1000,512.0,1.95,0.54,3.07
2,14,1000,1024.0,2.05,0.52,3.25
2,14,1000,2048.0,2.79,0.63,4.8
2,14,1000,4096.0,3.84,0.86,6.75
2,14,1000,8192.0,6.06,1.15,10.87
2,14,1000,16384.0,13.26,7.47,17.82
2,14,1000,32768.0,20.67,10.63,27.37
2,14,1000,65536.0,35.93,20.09,48.24
2,14,1000,131072.0,71.95,50.63,101.96
2,14,1000,262144.0,161.38,117.7,224.26
2,14,1000,524288.0,330.61,205.87,441.69
2,14,1000,1048576.0,699.73,408.83,937.45
2,46,1000,1.0,4.14,0.73,6.06
2,46,1000,2.0,3.38,0.67,5.74
2,46,1000,4.0,3.19,0.65,5.16
2,46,1000,8.0,3.24,0.74,5.2
2,46,1000,16.0,3.2,0.67,5.15
2,46,1000,32.0,3.55,0.73,5.96
2,46,1000,64.0,3.51,0.65,5.88
2,46,1000,128.0,4.45,0.78,7.07
2,46,1000,256.0,4.6,0.83,7.26
2,46,1000,512.0,4.81,0.77,7.86
2,46,1000,1024.0,5.24,0.88,8.45
2,46,1000,2048.0,6.52,0.92,11.28
2,46,1000,4096.0,8.31,1.12,14.48
2,46,1000,8192.0,12.5,1.57,22.3
2,46,1000,16384.0,33.47,7.8,58.35
2,46,1000,32768.0,49.81,11.72,79.95
2,46,1000,65536.0,89.12,26.13,138.68
2,46,1000,131072.0,166.7,53.63,255.29
2,46,1000,262144.0,343.65,129.51,535.01
2,46,1000,524288.0,722.64,261.01,1135.75
2,46,1000,1048576.0,1475.83,523.31,2334.42
0,162,1000,1.0,4.9,1.03,10.85
0,162,1000,2.0,5.9,0.46,12.09
0,162,1000,4.0,6.25,0.49,11.52
0,162,1000,8.0,6.19,0.52,11.18
0,162,1000,16.0,6.51,0.5,12.07
0,162,1000,32.0,6.99,0.52,12.58
0,162,1000,64.0,6.67,0.55,12.2
0,162,1000,128.0,8.3,0.67,15.31
0,162,1000,256.0,8.44,0.66,15.21
0,162,1000,512.0,8.23,0.67,14.54
0,162,1000,1024.0,9.28,0.74,16.2
0,162,1000,2048.0,11.41,0.98,17.38
0,162,1000,4096.0,19.83,0.89,29.34
0,162,1000,8192.0,38.29,1.1,58.17
0,162,1000,16384.0,110.74,7.63,190.52
0,162,1000,32768.0,187.12,11.24,269.9
0,162,1000,65536.0,87.59,54.02,121.37
0,162,1000,131072.0,202.32,113.78,286.76
0,162,1000,262144.0,441.95,216.59,625.98
0,162,1000,524288.0,957.4,431.37,1364.13
0,162,1000,1048576.0,1567.53,659.98,2160.25
2,42,1000,1.0,2.88,0.53,5.09
2,42,1000,2.0,2.84,0.55,5.06
2,42,1000,4.0,2.84,0.52,5.07
2,42,1000,8.0,2.85,0.53,5.08
2,42,1000,16.0,2.8,0.5,4.98
